Id,nights,Destination,Title,Title and Description,Original URL
4C1x0wXAfGJf7SynT8Aj,9,"Netherlands, Belgium, Luxembourg","Netherlands, Belgium & Luxembourg: Benelux Gems","Netherlands, Belgium & Luxembourg: Benelux Gems. Venture off the beaten path to explore some of Europe’s hidden gems as you take in the tranquil landscapes of the Lowlands, explore pivotal moments from the Battles of Waterloo and the Bulge, and unearth the legacy of Charlemagne’s former capital, Aachen. A&K Advantages Savor the sights and flavors of Flanders with a private lacemaking demonstration in Bruges, followed by lunch at a Belgian brasserie Experience château living as you stay in a charming Luxembourg castle hotel Glimpse the former grandeur of the Dutch elite at Amsterdam’s 17th-century Willet-Holthuysen House Delve into the glories of the reign of Charlemagne during an expert-led tour of Aachen Explore pivotal sites from the Battle of the Bulge as you ride aboard a vintage U.S. Army Willys Jeep Itinerary at a Glance DAY 1 ARRIVE AMSTERDAM, NETHERLANDS DAY 2 AMSTERDAM | HERITAGE OF THE DUTCH CAPITAL DAY 3 LIÈGE, BELGIUM | PASTORAL FLAVORS DAY 4 AACHEN, GERMANY | GLORIES OF CHARLEMAGNE DAY 5 BASTOGNE | BATTLE OF THE BULGE DAY 6 LUXEMBOURG CITY, LUXEMBOURG | VIANDEN CASTLE DAY 7 GHENT, BELGIUM | LEGACY OF THE MIDDLE AGES DAY 8 BRUSSELS | BATTLE OF WATERLOO DAY 9 BRUGES | A TASTE OF FLANDERS DAY 10 DEPART BRUSSELS",https://www.abercrombiekent.com/tours/connections-boutique-group-journeys/2023/netherlands-belgium-luxembourg
5G6EfWFE53N6hC2RNchA,7,Alaska,Alaskan Explorer Cruise,"Alaskan Explorer Cruise. Embark on a convenient roundtrip Seattle adventure, offering spectacular Dawes Glacier and stops in rough-hewn Ketchikan and Alaska\'s capital, Juneau. Get a unique glimpse into Alaska\'s history in Sitka while enjoying a combination of lush and icy scenic views.",https://www.costcotravel.com/Cruises/Offers/HALWESALK20240512
7EFa0ja3jk2IePrVVyE6,2,"San Diego, California",Kona Kai Resort & Spa,"Kona Kai Resort & Spa. The newly transformed and expanded Kona Kai Resort & Spa welcomes you to an island escape in the center of San Diego. Laze the day away on your oversized balcony looking out over San Diego Bay while nibbling on local food from the Point Loma restaurant. Enjoy a day on the resorts private beach, sipping specialty drinks from the Tiki Bar or relax near the new adults-only pool.",https://www.costcotravel.com/Vacation-Packages/Offers/CALSANDKONAKAI20210707
7a0ppQsZYtinE6VeN96H,8,Poland,Poland: Witness to History,"Poland: Witness to History. Discover the rich history and culture of this fascinating center of Europe, from its political and religious heritage to the struggles of World War II. End your journey inside Poland's oldest mine, where you explore among salt caverns. A&K Advantages Immerse yourself in Warsaw’s history, from its early glories to the Warsaw Uprising of World War II Descend into the stunning Bochnia Salt Mine, a UNESCO World Heritage Site Reflect on a dark chapter of the past at Auschwitz Join one of Europe's last city lamplighters as he illuminates the authentic gas lanterns in Wroclaw's medieval center Learn to cook pierogi, and then enjoy dinner with a show of folk music and dance, on an exclusive A&K experience Itinerary at a Glance DAY 1 ARRIVE WARSAW, POLAND DAY 2 WARSAW | BAROQUE HIGHLIGHTS DAY 3 WARSAW | HISTORY OF RESISTANCE DAY 4 WROCLAW | HEART OF SILESIA DAY 5 WROCLAW | LAMPLIGHTING ON CATHEDRAL ISLAND DAY 6 CZESTOCHOWA | ICON OF THE MADONNA DAY 7 AUSCHWITZ | ECHOES OF THE HOLOCAUST DAY 8 KRAKOW | STUNNING SALT CAVERNS DAY 9 DEPART KRAKOW",https://www.abercrombiekent.com/tours/connections-boutique-group-journeys/2023/poland-warsaw-krakow
8IweR7yK7CV93r6ExlRy,8,Austria and Germany,Christmas Markets Along the Danube,"Christmas Markets Along the Danube. Embark on a festive Danube River cruise, staying in handpicked boutique hotels in the heart of Vienna and Munich, and visiting Christkindlesmarkts, historic Melk Abbey and the Imperial Treasury in Vienna. A&K Advantages Cruise the Danube River, experiencing nine days of exclusive Connections sightseeing in your private small-group vehicle, escorted by your own Resident Tour Director Visit the finest Christmas markets (Christkindlesmarkts) in southern Germany and Austria in the intimate company of your small group Enjoy private access to a World War II art bunker in Nuremberg, an A&K exclusive Set out on unforgettable excursions designed by A&K, including a private tour of the Hofburg Palace Treasury in Vienna with its glittering jewels Itinerary at a Glance DAY 1 ARRIVE VIENNA, AUSTRIA DAY 2 VIENNA | HANDCRAFTED PORCELAIN DAY 3 VIENNA | A CITY’S CHRISTMAS BEST DAY 4 MELK | PALATIAL ABBEY DAY 5 PASSAU, GERMANY | HISTORIC CHRISTKINDLESMARKT DAY 6 REGENSBURG | WALKING TOUR & MARKET VISIT DAY 7 NUREMBERG | HEART OF THE OLD CITY DAY 8 MUNICH | BAVARIAN CAPITAL DAY 9 DEPART MUNICH",https://www.abercrombiekent.com/tours/connections-european-river-cruise-journeys/2024/europe-christmas-markets-danube-river-cruise
8JiE66zKOcD5v8UHdTrt,8,Croatia,Croatia: Jewel of the Coast,"Croatia: Jewel of the Coast. Discover the glimmering Adriatic coast with ancient cities, private tours and unforgettable meetings with locals. Connect to Croatian food and culture, savoring fresh oysters and a private tour of the Mestrovic Gallery. A&K Advantages Discover fascinating Zagreb, Croatia’s charming capital, as a local expert introduces you to the city old and new Explore stunning Montenegro and the fjord of Boka Kotorska, the muse of painters, poets and travellers alike Meet a local fisherman and sample his harvest of Croatia's juicy oysters, plucked from the salty waters of the Adriatic Learn about the Balkan Wars during a talk in Dubrovnik with a local who shares her experiences of the conflict Itinerary at a Glance DAY 1 ARRIVE ZAGREB, CROATIA DAY 2 ZAGREB | THE STATELY CAPITAL DAY 3 ZADAR | ALONG THE SCENIC ADRIATIC DAY 4 SPLIT | THE EMPEROR’S PALACE DAY 5 BRAC | RUSTIC VILLAGE VISIT DAY 6 DUBROVNIK | THE CULINARY ROAD DAY 7 KOTOR, MONTENEGRO | SEASIDE CHARMS DAY 8 DUBROVNIK | THE CITY MUSEUM DAY 9 DEPART DUBROVNIK",https://www.abercrombiekent.com/tours/connections-boutique-group-journeys/2023/croatia-zagreb-split-dubrovnik-luxury-tour
8NlysBGga1louYbag0ye,9,Spain,Spain: Seven Cities,"Spain: Seven Cities. Experience the best of Spain on a wide-ranging journey of cultural, historical and culinary discovery, contrasting the sun-dappled and atmospheric Andalusia region with the vibrant cities of Barcelona and Madrid. A&K Advantages Explore the historic Alhambra, an architectural masterpiece overlooking the ancient city of Granada Mingle with locals as you explore La Boqueria in Barcelona, a food paradise boasting a spectacle of top-quality Catalonian staples Experience an authentic bodega and privately sample sherry in the famed region of Jerez Ride in a horse-drawn carriage to a restaurant in Seville for authentic tapas, an integral and delightful aspect of Spanish culture Journey to a private palace in Seville, where local flamenco dancers and singers perform just for you Itinerary at a Glance DAY 1 ARRIVE BARCELONA, SPAIN DAY 2 BARCELONA | HEART OF CATALONIA DAY 3 BARCELONA | GAUDÍ’S EXTRAVAGANT VISION DAY 4 GRANADA & RONDA | AWE-INSPIRING ALHAMBRA DAY 5 GIBRALTAR, UNITED KINGDOM | LAST OUTPOST DAY 6 SEVILLE | SHERRY IN JEREZ DAY 7 SEVILLE | SUNNY SANTA CRUZ DAY 8 CÓRDOBA | STREETS OF FLOWERS DAY 9 MADRID | MASTERFUL ART & ARCHITECTURE DAY 10 DEPART MADRID",https://www.abercrombiekent.com/tours/connections-boutique-group-journeys/2024/spain-seven-cities-luxury-tour
8RlIplSDFOFucRJg8awm,9,Italy,Italy Jewels: Cinque Terre & the North,"Italy Jewels: Cinque Terre & the North. Experience all the charm and magic of Italy’s elegant northern provinces, from exquisite food and wine to unique landscapes and cultures to some of the country’s most distinguished cities. A&K Advantages Immerse yourself in the vibrant colors and rugged cliffs of the Cinque Terre while exploring its famed villages Explore beautiful Lake Como on a private boat cruise, surrounded by charming villas and steep, wooded hills Savor delicious meats, cheeses and Italian classics, taking part in a foodie tour in Parma and a pesto cooking class Go behind the scenes on a private tour of La Scala and its workshops Discover Turin, once the royal capital of Italy, and its renowned Egyptian Museum Itinerary at a Glance DAY 1 ARRIVE MILAN, ITALY DAY 2 COMO | CHARMING VILLAGE OF BELLAGIO DAY 3 MILAN | PRESTIGIOUS LA SCALA OPERA HOUSE DAY 4 TURIN | WINE TASTING IN PIEDMONT DAY 5 SESTRI LEVANTE | CULINARY SECRETS OF LIGURIA DAY 6 CINQUE TERRE | BEAUTY ALONG THE COAST DAY 7 PARMA | A TASTE OF ITALY DAY 8 VERONA | SPECTACULAR ROMAN REMNANTS DAY 9 VENICE | PALACES & CANALS DAY 10 DEPART VENICE",https://www.abercrombiekent.com/tours/connections-boutique-group-journeys/2024/italys-jewels-cinque-terre-and-the-north
8SV8SpvhxXAhQ6ET0Pzd,5,"Rome, Italy",Anantara Palazzo Naiadi,"Anantara Palazzo Naiadi. Located in a 19th-century crescent-shaped marble palace, this 5-star hotel is situated on the majestic Piazza della Repubblica right in front of the famous Diocletian Thermal Baths dating from 306 BC and just a stone\'s throw from the city's iconic monuments.",https://www.costcotravel.com/Vacation-Packages/Offers/EURROMPALAZZONAIADI20220624
FOxijrxmrBZ6Kg0gO3g9,10,"Sicily, Puglia, Amalfi Coast","Sicily, Puglia & the Amalfi Coast","Sicily, Puglia & the Amalfi Coast. Experience the glories of Southern Italy on a panoramic journey revealing authentic cuisine and culture as well as the slow pace of rural life. Discover Sicily’s ancient ruins, exotic landscapes and the rocky shores of breathtaking Capri. A&K Advantages Step back in time to explore Sicily’s incredible Greek and Roman remains, as well as the mountain-carved city of Matera Savor the flavors of Italy with a private buffalo mozzarella tasting and a visit to a Puglian olive oil producer Take an A&K-exclusive guided tour of Palazzo Francavilla with the owner, and savor refreshing aperitifs Visit Roman Herculaneum — a town once submerged by mud and lava — and drive the stunning Amalfi Coast Road to Positano Stop in Corleone for an introduction to the Sicilian Mafia, an aspect of life in the region for years Itinerary at a Glance DAY 1 ARRIVE PALERMO, ITALY DAY 2 PALERMO | TREASURES OF NORMAN ARCHITECTURE DAY 3 AGRIGENTO | THE DARK HISTORY OF COSA NOSTRA DAY 4 PIAZZA ARMERINA | ANCIENT VILLA DAY 5 TAORMINA | MAJESTIC VANTAGE POINT DAY 6 MATERA | IN THE MOUNTAINOUS CITTÀ SOTTERRANEA DAY 7 ALBEROBELLO | THE TRULLI HOUSES OF APULIA DAY 8 PAESTUM | MAKING MOZZARELLA DAY 9 POSITANO | COASTAL GLORIES DAY 10 CAPRI | MEDITERRANEAN IDYLL DAY 11 DEPART NAPLES",https://www.abercrombiekent.com/tours/connections-boutique-group-journeys/2024/sicily-puglia-and-the-amalfi-coast
